objectcode,objectdescription,recologyid,roadwayid,roadwaydescription,cantype,cancolor,streetcorner,onstreet,fromstreet,installeddate,removeddate,latitude,longitude,globalid,objectid,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
CAN-1094382,1265 PINE ST,10011094382,,,CEMENT / CONCRETE,,,,,2015/01/01 12:00:00 AM,,37.790098844,-122.416607185,dbabfb4f-733d-452f-814a-e9668720aa3b,1474,POINT (-122.416607185 37.790098844),Nob Hill,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3529534,668 32ND AVE,10513529534,,,CEMENT / CONCRETE,,,,,2000/01/15 12:00:00 AM,,37.776567663,-122.491980771,a9851489-b1a4-40c9-8b90-b180b621aaa2,1955,POINT (-122.491980771 37.776567663),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4421467,4501 03RD ST,10514421467,,,RENAISSANCE / METAL,,,,,2005/07/25 12:00:00 AM,,37.737088008,-122.389823976,45acfaa7-1bed-4575-9a5a-08bc428d535b,2083,POINT (-122.389823976 37.737088008),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6280465,798 FREDERICK ST,10516280465,,,RENAISSANCE / METAL,,,,,2019/10/01 12:00:00 AM,,37.766012607,-122.457683805,2e591ef8-4444-4330-8af6-d6cd66ee63d7,2579,POINT (-122.457683805 37.766012607),Golden Gate Park,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6517270,601 GREAT HWY,10516517270,,,CEMENT / CONCRETE,,,,,2021/09/16 12:00:00 AM,,37.775370311,-122.511449072,64b14e44-c981-4918-a54d-219fbf7d27e0,2671,POINT (-122.511449072 37.775370311),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1091917,690 EMBARCADERO,10011091917,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.801571904,-122.399538615,7e4cff46-af35-47a1-b4f4-6c0617162aea,1454,POINT (-122.399538615 37.801571904),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-385591,2392 16TH ST,1051385591,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.765647875,-122.410335766,45ab6be3-26b3-4d93-a3bf-a55ebfe9fb6a,2029,POINT (-122.410335766 37.765647875),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5708755,497 HAYES ST,10515708755,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.776681312,-122.424380474,4f5a9e04-b486-4952-91bd-4783bfeef893,2282,POINT (-122.424380474 37.776681312),Hayes Valley,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6010458,1325 MINNESOTA ST,10516010458,,,RENAISSANCE / METAL,,,,,2017/06/14 12:00:00 AM,,37.753644457,-122.389804358,882ec858-77d8-4fea-8c13-dd96986cdd94,2410,POINT (-122.389804358 37.753644457),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1166511,1671 OCEAN AVE,10511166511,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.724669519,-122.460116614,26b60e4b-a3aa-459e-96bd-409f2763fc7a,1530,POINT (-122.460116614 37.724669519),Oceanview/Merced/Ingleside,11,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2460103,3001 CESAR CHAVEZ ST,10512460103,,,RENAISSANCE / METAL,,,,,1993/04/08 12:00:00 AM,,37.748265457,-122.409733698,b22972bc-7ad7-4f00-a2d8-1b85133ef068,1802,POINT (-122.409733698 37.748265457),Bernal Heights,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2956407,5401 CALIFORNIA ST,10512956407,,,RENAISSANCE / METAL,,,,,1996/04/24 12:00:00 AM,,37.784290264,-122.47549581,4b8c0d93-c950-4a1c-8ec7-2bacb60bd0bc,1842,POINT (-122.47549581 37.784290264),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5132501,1600 09TH AVE,10515132501,,,CEMENT / CONCRETE,,,,,2010/08/02 12:00:00 AM,,37.758358697,-122.465893637,a0ca5f4f-5560-4c7d-9a54-a32701359b0a,2113,POINT (-122.465893637 37.758358697),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5708433,854 VALENCIA ST,10515708433,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.759199013,-122.42138759,83b4b31e-c9c6-45e0-aa77-2ae166b80aa4,2273,POINT (-122.42138759 37.759199013),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5851779,554 DOLORES ST,10515851779,,,RENAISSANCE / METAL,,,,,2016/04/01 12:00:00 AM,,37.760123697,-122.426084152,42a64a73-2c74-4102-bfe8-9b1782836a0d,2379,POINT (-122.426084152 37.760123697),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6174148,9 FRIDA KAHLO WAY,10516174148,,,CEMENT / CONCRETE,,,,,2018/11/01 12:00:00 AM,,37.723379435,-122.452381144,27390a58-374c-4a59-8e4a-df8c225ea301,2523,POINT (-122.452381144 37.723379435),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1090885,196 OFARRELL ST,10011090885,,,CEMENT / CONCRETE,,,,,2014/12/01 12:00:00 AM,,37.786462753,-122.407914338,964ab7f2-70a9-4ba2-a788-10a4381bfc18,1435,POINT (-122.407914338 37.786462753),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1248285,499 02ND ST,10011248285,,,RENAISSANCE / METAL,,,,,2020/06/12 12:00:00 AM,,37.783163305,-122.393687303,a2309ddb-ae14-436b-ab98-84791694d605,1595,POINT (-122.393687303 37.783163305),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5764980,1598 MC ALLISTER ST,10515764980,,,RENAISSANCE / METAL,,,,,2015/06/19 12:00:00 AM,,37.777968,-122.4380925,a5dbdbc6-cb75-4c53-94e0-dbdb4e695daa,2328,POINT (-122.4380925 37.777968),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1092436,1199 EMBARCADERO,10011092436,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.80509935,-122.403455522,47a742f5-8aed-4904-9099-e65dfa224419,1466,POINT (-122.403455522 37.80509935),North Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1141985,499 UNION ST,10011141985,,,RENAISSANCE / METAL,,,,,2016/09/04 12:00:00 AM,,37.800626569,-122.407478218,47ed55b4-3876-42a2-af8d-2c7cbf712320,1524,POINT (-122.407478218 37.800626569),North Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1138437,2198 WEBSTER ST,10011138437,,,CEMENT / CONCRETE,,,,,2016/07/29 12:00:00 AM,,37.790843351,-122.432524097,f0ead82d-d168-4dce-a3dc-86a974c24a9b,1521,POINT (-122.432524097 37.790843351),Pacific Heights,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5500582,3809 MISSION ST,10515500582,,,RENAISSANCE / METAL,,,,,2013/05/15 12:00:00 AM,,37.735927766,-122.42449069,203d8674-de9c-441f-a96d-78f9189a437c,2209,POINT (-122.42449069 37.735927766),Bernal Heights,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6229942,4292 19TH ST,10516229942,,,RENAISSANCE / METAL,,,,,2019/06/03 12:00:00 AM,,37.759195897,-122.436889984,4b60ddc8-4484-482c-bd57-be8a8dac21ba,2552,POINT (-122.436889984 37.759195897),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1239391,42 HYDE ST,10011239391,,,CEMENT / CONCRETE,,,,,2020/01/21 12:00:00 AM,,37.779664784,-122.415077664,83214ff7-42b5-4212-abb1-1945046c8c96,1570,POINT (-122.415077664 37.779664784),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1175504,701 ELLIS ST,10011175504,,,BIG BELLY,,,,,2017/08/17 12:00:00 AM,,37.784200302,-122.417828061,d6670724-1b2a-4743-b9dc-42a56f508661,1535,POINT (-122.417828061 37.784200302),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2660389,798 DOUGLASS ST,10512660389,,,RENAISSANCE / METAL,,,,,1994/04/12 12:00:00 AM,,37.751118645,-122.43853109,65fa0889-879e-4bd4-a9f5-f0773bf21f31,1823,POINT (-122.43853109 37.751118645),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-404715,788 20TH ST,1051404715,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.76047544,-122.389315124,0b75bcb8-e530-4861-92c0-116a7ce82e0e,2035,POINT (-122.389315124 37.76047544),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6182125,3650 ALEMANY BLVD,10516182125,,,RENAISSANCE / METAL,,,,,2018/12/17 12:00:00 AM,,37.711792432,-122.464733031,9d680b69-3f6e-4263-b8cb-ff05c38f2dfe,2536,POINT (-122.464733031 37.711792432),Oceanview/Merced/Ingleside,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4877825,3747 18TH ST,10514877825,,,RENAISSANCE / METAL,,,,,2008/10/01 12:00:00 AM,,37.761340075,-122.427164017,bea6f9c8-69d4-4f7e-a99b-2ffa94cde730,2104,POINT (-122.427164017 37.761340075),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5503735,1199 22ND ST,10515503735,,,RENAISSANCE / METAL,,,,,2013/05/23 12:00:00 AM,,37.757635323,-122.393021378,3e26c180-5a80-4cfb-9787-599616695d4c,2222,POINT (-122.393021378 37.757635323),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6182091,4738 03RD ST,10516182091,,,RENAISSANCE / METAL,,,,,2018/12/17 12:00:00 AM,,37.735295263,-122.390639625,8c43cd22-2cc6-44cf-83b1-c19d0d755849,2535,POINT (-122.390639625 37.735295263),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6345771,2695 GEARY BLVD,10516345771,,,RENAISSANCE / METAL,,,,,2020/07/02 12:00:00 AM,,37.78232565,-122.447391676,20f1b683-ee95-461a-9022-359b6f822a51,2595,POINT (-122.447391676 37.78232565),Lone Mountain/USF,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1305515,40 PIER,10011305515,,,RENAISSANCE / METAL,,,,,2022/02/04 12:00:00 AM,,37.795041311,-122.396216556,a761af0d-3976-4b0b-9f37-929822e52606,1645,POINT (-122.396216556 37.795041311),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-754085,40 PIER,1001754085,,,RENAISSANCE / METAL,,,,,2003/09/01 12:00:00 AM,,37.795041311,-122.396216556,97f825da-b8f6-42b3-89fc-5ecb670174ff,2794,POINT (-122.396216556 37.795041311),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3588217,3186 GEARY BLVD,10513588217,,,RENAISSANCE / METAL,,,,,2000/03/31 12:00:00 AM,,37.781848915,-122.453030579,68675d70-0a20-4068-a730-31eecdd8469f,1961,POINT (-122.453030579 37.781848915),Presidio Heights,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3669579,1244 NOE ST,10513669579,,,RENAISSANCE / METAL,,,,,2001/01/01 12:00:00 AM,,37.749172449,-122.431700537,10fa9e09-b957-40a0-85f0-6bfe621748bb,1967,POINT (-122.431700537 37.749172449),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5254156,6590 GEARY BLVD,10515254156,,,RENAISSANCE / METAL,,,,,2011/06/02 12:00:00 AM,,37.779948893,-122.489948653,b352391c-67fe-4e43-ae17-4f3f590a21b1,2153,POINT (-122.489948653 37.779948893),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6833545,3441 CALIFORNIA ST,10516833545,,,RENAISSANCE / METAL,,,,,2024/05/13 12:00:00 AM,,37.786722214,-122.450814983,e12b3b91-9120-4163-b8bb-2f9ab70ad61b,2768,POINT (-122.450814983 37.786722214),Presidio Heights,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1375740,98 TRADE WINDS AVE,10011375740,,,RENAISSANCE / METAL,,,,,2024/10/28 12:00:00 AM,,37.818132665,-122.37053386,ba96cf93-2048-4c95-b152-8a7bc3da12c8,1706,POINT (-122.37053386 37.818132665),Treasure Island,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6101745,1511 EDDY ST,10516101745,,,RENAISSANCE / METAL,,,,,2018/04/06 12:00:00 AM,,37.781373992,-122.432593642,bdb4c086-8394-4d1b-a008-d4c43c25224d,2448,POINT (-122.432593642 37.781373992),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6266589,1298 MC ALLISTER ST,10516266589,,,RENAISSANCE / METAL,,,,,2019/09/13 12:00:00 AM,,37.778467768,-122.43331449,a6821326-ed82-4ecb-9acb-59d6331c1472,2565,POINT (-122.43331449 37.778467768),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6460943,479 HAYES ST,10516460943,,,CEMENT / CONCRETE,,,,,2021/05/27 12:00:00 AM,,37.776712356,-122.424139878,b2e1c249-78f6-4afc-b439-668516c1a17d,2639,POINT (-122.424139878 37.776712356),Hayes Valley,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6873426,2590 KEITH ST,10516873426,,,RENAISSANCE / METAL,,,,,2024/09/06 12:00:00 AM,,37.725104378,-122.39329783,073f1636-984c-4c3f-a07e-0b0abd2cf8ed,2775,POINT (-122.39329783 37.725104378),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-792036,687 FILLMORE ST,1051792036,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.775650154,-122.431208887,794aa7af-7412-435d-aa9d-fadee5534561,2801,POINT (-122.431208887 37.775650154),Hayes Valley,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4856936,225 PARK PRESIDIO,10514856936,,,RENAISSANCE / METAL,,,,,2008/09/01 12:00:00 AM,,37.783958251,-122.472669414,823cc5f4-c943-464d-ab02-ec87cc020d02,2102,POINT (-122.472669414 37.783958251),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6091573,1201 CLEMENT ST,10516091573,,,CEMENT / CONCRETE,,,,,2018/02/24 12:00:00 AM,,37.782572223,-122.472040236,eea43f70-288a-4ce6-ad65-964e3c9be83e,2424,POINT (-122.472040236 37.782572223),Inner Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-834952,2410 GEARY BLVD,1051834952,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.782959203,-122.443057797,3d93dce8-81b2-46db-bd81-4fccbcafbf66,2804,POINT (-122.443057797 37.782959203),Presidio Heights,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-754135,26 PIER,1001754135,,,CEMENT / CONCRETE,,,,,2003/09/01 12:00:00 AM,,37.794191687,-122.393853721,bb997daa-acc9-4809-b4a2-b6b800a36d75,2795,POINT (-122.393853721 37.794191687),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1261536,1299 04TH ST,10011261536,,,RENAISSANCE / METAL,,,,,2020/09/04 12:00:00 AM,,37.771993718,-122.391271588,35b104d3-cd85-4a30-8f0b-a0d66628b93b,1608,POINT (-122.391271588 37.771993718),Mission Bay,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1375690,299 SEVEN SEAS AVE,10011375690,,,RENAISSANCE / METAL,,,,,2024/10/28 12:00:00 AM,,37.819383727,-122.371263521,9adc99b4-51b4-43cc-a2da-2a5ce407e9ec,1703,POINT (-122.371263521 37.819383727),Treasure Island,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5147335,1798 MC ALLISTER ST,10515147335,,,RENAISSANCE / METAL,,,,,2010/09/01 12:00:00 AM,,37.777572,-122.4414855,e0d7e485-4af4-40da-aa8c-3fe18d38c3e7,2116,POINT (-122.4414855 37.777572),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5455308,1199 EDDY ST,10515455308,,,RENAISSANCE / METAL,,,,,2012/10/01 12:00:00 AM,,37.782050813,-122.427291706,a398c29a-94ed-4d3e-9fb0-bab0df729bf7,2194,POINT (-122.427291706 37.782050813),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5765219,1999 FOLSOM ST,10515765219,,,RENAISSANCE / METAL,,,,,2015/06/19 12:00:00 AM,,37.765414691,-122.415296935,b9a3bf92-f637-4b5f-882c-ffc14afcaa28,2331,POINT (-122.415296935 37.765414691),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6143515,6400 FULTON ST,10516143515,,,RENAISSANCE / METAL,,,,,2018/08/06 12:00:00 AM,,37.771861168,-122.500384424,e814c822-736f-4fae-aff4-0cec6ad47cff,2487,POINT (-122.500384424 37.771861168),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6573927,301 PORTOLA DRV,10516573927,,,CEMENT / CONCRETE,,,,,2022/02/01 12:00:00 AM,,37.746901711,-122.444959124,bcf947f8-d894-4f17-9aa2-c80bf9602dce,2698,POINT (-122.444959124 37.746901711),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5720974,3209 FOLSOM ST,10515720974,,,CEMENT / CONCRETE,,,,,2015/01/15 12:00:00 AM,,37.746910918,-122.413524465,f098e941-b2d6-4b3c-8f37-e7981f07c8dd,2311,POINT (-122.413524465 37.746910918),Bernal Heights,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6184618,1701 BAYSHORE BLVD,10516184618,,,RENAISSANCE / METAL,,,,,2018/12/26 12:00:00 AM,,37.721468055,-122.39983812,0500acce-69e8-43d9-9ae1-f57d52b4eb94,2538,POINT (-122.39983812 37.721468055),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1195486,100 EMBARCADERO,10011195486,,,BIG BELLY,,,,,2018/08/17 12:00:00 AM,,37.793412,-122.3926515,eb9e256b-dbca-47f4-8587-620d3441cffe,1548,POINT (-122.3926515 37.793412),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1375708,399 SEVEN SEAS AVE,10011375708,,,RENAISSANCE / METAL,,,,,2024/10/28 12:00:00 AM,,37.820706744,-122.37213191,b9b79008-1a6b-4051-830d-9b26094eed1a,1704,POINT (-122.37213191 37.820706744),Treasure Island,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
