id_1,id_2,time_diff_min,battery_diff,wave_period_diff,wave_height_diff,turbidity_diff,water_temp_diff,same_beach,rule_based_flag,is_duplicate
7957,7958,40,34,0.15,1.4,6.37,1.63,1,0,1
33851,33852,56,64,2.88,1.15,5.88,5.48,1,0,0
12452,12453,39,5,1.99,1.01,40.23,6.04,1,0,0
13891,13892,31,40,3.82,1.55,3.2,4.84,1,0,1
12483,12484,24,43,7.56,3.36,72.25,1.59,1,0,0
12395,12396,20,19,0.01,0.23,11.54,4.66,1,0,1
15102,15103,41,56,6.52,2.55,25.25,0.09,1,0,0
14190,14191,38,8,0.76,0.69,2.98,3.02,1,0,1
31666,31667,55,49,10.76,3.2,7.95,1.52,1,0,1
26850,26851,37,11,6.13,0.12,50.14,0.72,1,0,0
24516,24517,39,29,3.74,3.97,47.4,9.74,1,0,0
12374,12375,46,18,0.34,2.29,20.42,2.24,1,0,0
34043,34044,37,33,10.45,2.08,22.6,3.67,1,0,0
27010,27012,27,38,6.98,2.01,31.34,0.31,1,0,0
33948,33949,58,95,9.44,0.48,41.84,1.17,1,0,0
19345,19346,13,9,8.98,3.97,52.43,7.96,1,0,0
13889,13890,39,5,4.65,1.73,10.57,4.78,1,0,1
26127,26128,49,4,1.41,1.31,85.88,0.33,1,0,0
16566,16567,21,3,9.5,0.96,37.01,1.89,1,0,0
22605,22606,51,47,4.77,0.83,55.26,2.73,1,0,0
5716,5717,33,79,7.8,1.51,35.82,5.37,1,0,0
2719,2720,56,8,2.33,1.62,67.23,6.79,1,0,0
9138,9139,32,7,2.99,2.65,12.49,0.89,1,0,1
2085,2086,43,31,7.82,2.37,42.91,5.09,1,0,0
15731,15732,51,58,1.01,1.72,5.78,2.88,1,0,1
23061,23062,52,43,6.96,1.03,0.29,3.18,1,0,1
27292,27295,25,12,3.04,0.6,2.63,0.74,1,0,1
14186,14187,20,39,6.23,0.18,1.58,4.01,1,0,1
9498,9500,56,3,2.28,1.13,12.89,2.61,1,0,1
25230,25231,47,79,7.29,0.48,12.84,1.46,1,0,1
21327,21328,51,10,7.05,1.47,15.51,5.85,1,0,0
33952,33953,33,95,3.08,0.72,45.86,6.97,1,0,0
18546,18547,50,3,11.2,0.06,63,1.07,1,0,0
31040,31041,15,11,5.21,1.98,12.91,9.42,1,0,0
31576,31577,45,12,1.18,0.79,24.13,3.84,1,0,0
4078,4079,31,50,1.44,3.07,13.25,2.59,1,0,1
33676,33678,60,45,0.53,2.6,69.94,1.77,1,0,0
19944,19945,36,1,3.07,0.35,4.27,1.24,1,0,1
16741,16742,28,18,8.72,0.45,69.5,1.27,1,0,0
8217,8218,6,78,3.07,0.07,16.05,4.22,1,0,0
8116,8117,45,39,4.64,0.49,15.98,6.5,1,0,0
2637,2638,21,57,4,3.79,56.5,1.18,1,0,0
13386,13387,45,89,1.65,1.57,47.06,1.63,1,0,0
23536,23537,41,70,0.47,2.95,4.41,4.69,1,0,1
27489,27490,7,21,8.05,3.64,54.88,1.94,1,0,0
5053,5054,22,1,3.23,1.96,36.2,2.42,1,0,0
10728,10729,50,57,0.03,3.27,35.24,4.53,1,0,0
28237,28238,47,20,6.97,0.94,38.63,3.45,1,0,0
33331,33332,32,3,10.04,2.49,19.34,1.73,1,0,0
22779,22780,6,23,6.89,0.87,46.81,2.86,1,0,0
21044,21045,53,98,1.35,1.54,6.96,5.45,1,0,0
13439,13440,58,51,14.25,3.67,66.49,1.27,1,0,0
1052,1053,59,32,0.53,0.67,77.8,3.97,1,0,0
19912,19913,25,43,3.85,0.46,4.96,8.39,1,0,0
29552,29553,15,2,5.51,2.2,12.1,0.71,1,0,1
34119,34120,36,54,2.28,0.03,14.93,0.91,1,0,1
5082,5083,39,30,1.83,0.9,7.26,1.43,1,0,1
24098,24099,14,54,13.22,1.35,66.18,1.29,1,0,0
21422,21423,19,70,3.46,1.41,27.97,1.41,1,0,0
27973,27974,43,7,8.13,2.79,2.65,0.8,1,0,1
13971,13972,60,49,6.32,1.96,3.27,2.04,1,0,1
21923,21924,15,61,3.95,3.63,57.83,0.21,1,0,0
2676,2677,29,25,0.29,1.94,20.29,2.87,1,0,0
24709,24710,60,40,2.23,0.6,56.35,1.14,1,0,0
31480,31482,39,85,0.84,0.16,3.98,5.33,1,0,0
25526,25527,48,4,0.93,1.91,76.57,5.59,1,0,0
29804,29805,41,61,7.1,1.66,53.42,3.49,1,0,0
16475,16476,14,55,6.09,3.74,49.29,1.22,1,0,0
4621,4622,51,43,4.7,3.31,75.22,0.19,1,0,0
11543,11544,50,84,1.3,0.04,33.84,6.77,1,0,0
6719,6720,35,30,6.53,0.82,77.38,0.3,1,0,0
28717,28718,44,28,1.35,2.17,17.03,7.58,1,0,0
15895,15896,38,16,9.21,1.35,17.63,0.16,1,0,0
29979,29980,55,8,2.6,0.82,31.5,1.77,1,0,0
32740,32741,50,2,2.8,0.55,2.06,5.29,1,0,0
719,720,25,13,13.57,1.41,34.65,1.99,1,0,0
17057,17058,22,32,1.93,0.9,34.35,7.7,1,0,0
28346,28347,42,42,4.89,2.76,55.24,1.75,1,0,0
15931,15932,9,23,7.11,0.79,4.7,3.11,1,0,1
17420,17421,35,48,8.38,0.67,35.04,3.68,1,0,0
1652,1653,34,12,3.63,1.03,20.97,0.35,1,0,0
1780,1781,53,14,1.57,1.97,7.51,1.59,1,0,1
15864,15865,41,15,2.58,2.15,58.61,3.63,1,0,0
10056,10057,29,72,13.14,1.43,83.27,5.16,1,0,0
9350,9351,46,0,12.68,3.57,66.41,8.57,1,0,0
10345,10346,52,18,4.66,0.62,21.88,0.71,1,0,0
29697,29698,7,53,4.41,1.49,13.25,0.55,1,0,1
34061,34062,39,38,9.27,3.52,6.02,2.75,1,0,1
15537,15538,57,32,0.38,2.95,45.09,3.66,1,0,0
30264,30265,14,44,10.48,3.3,17.16,5.87,1,0,0
31670,31671,37,37,2.94,1.1,77.01,7.51,1,0,0
24106,24107,41,31,6.08,2.68,15.82,4.21,1,0,0
16033,16034,30,3,7.03,1.03,89.19,0.51,1,0,0
16758,16759,40,24,9.27,0.64,1.17,5.18,1,0,0
21614,21615,37,72,2.37,2.16,72.27,1.48,1,0,0
8441,8442,59,63,10.4,0.17,89.23,5.58,1,0,0
32126,32127,53,30,3.38,1.1,84.22,0.09,1,0,0
11406,11407,43,94,8.33,1.4,6.9,3.71,1,0,1
10142,10143,27,6,5.23,1.86,17.22,0.59,1,0,0
26590,26591,25,39,3.32,3.83,36.84,9.44,1,0,0
10354,10355,26,4,0.6,1.31,9.4,6.56,1,0,0
9869,9870,10,72,2.21,0.66,41.38,5.9,1,0,0
27491,27492,31,12,0.09,0.74,38.1,3.49,1,0,0
26808,26810,52,9,0.67,0.23,24.34,5.41,1,0,0
30263,30265,26,50,2.83,0.59,23.68,0.33,1,0,0
34268,34269,28,32,4.89,1.72,28.49,0.69,1,0,0
1002,1003,38,19,5.86,0.62,34.45,1.42,1,0,0
11713,11715,60,7,5.24,2.92,47.07,5.78,1,0,0
19778,19779,36,18,4.76,0.52,84.88,5.97,1,0,0
25474,25476,47,8,5.77,0.58,21.14,0.74,1,0,0
25174,25175,54,85,4.12,0.57,53.72,3.7,1,0,0
126,127,29,56,0.34,0.26,1.89,0.03,1,0,1
15323,15324,32,20,5.15,0.13,60.23,2.92,1,0,0
19324,19325,53,1,8.43,0.61,57.44,3.81,1,0,0
5948,5949,52,60,9.62,2.83,11.9,3.37,1,0,1
29448,29449,7,19,4.53,2.6,16.09,1.93,1,0,0
4023,4024,44,73,2.17,1.19,35.23,1.62,1,0,0
24285,24286,41,1,3.14,2.56,50.58,1.33,1,0,0
8060,8061,58,74,7.27,3.03,4.53,0.75,1,0,1
17682,17683,21,81,5.2,1.49,15.45,0.88,1,0,0
4098,4099,17,45,4.99,0.09,50.8,3.96,1,0,0
13216,13217,33,77,2.17,0.19,7.65,0.68,1,0,1
14729,14730,57,37,3.56,0.58,51.33,3.02,1,0,0
9149,9150,24,57,2.6,1.01,0.47,5.06,1,0,0
1368,1369,8,79,1.51,3.48,23.52,0.41,1,0,0
19017,19018,50,83,1.99,3.22,1.59,0.23,1,0,1
9356,9357,22,12,2.42,0.34,38.36,2.27,1,0,0
12672,12673,10,64,10.31,1.56,19.62,1.71,1,0,0
290,291,15,38,5.06,0.37,0.07,0.7,1,0,1
15651,15652,58,66,9.41,1.16,37.35,6.85,1,0,0
11562,11563,43,5,13.04,0.33,73.69,6.51,1,0,0
3751,3752,14,16,3.81,3.11,61.49,4.29,1,0,0
3288,3289,42,34,9.38,3.09,24.97,3.26,1,0,0
10433,10434,54,72,3.45,0.12,49.38,0.71,1,0,0
26727,26728,22,69,2.26,2.41,27.81,5.62,1,0,0
34015,34016,17,15,4.4,2.78,84.39,0.87,1,0,0
28847,28848,57,34,7.73,1.74,27.63,1.37,1,0,0
21597,21598,51,59,7.21,2.36,20.1,1.14,1,0,0
31760,31761,32,26,4.2,2.55,19.24,3.64,1,0,0
6077,6078,58,49,10.01,0.59,2,0.27,1,0,1
34221,34222,50,39,14.19,3.28,69.86,6.93,1,0,0
19201,19202,36,60,5.76,0.72,46.65,3.85,1,0,0
22827,22828,22,70,10.96,2.71,62.36,4.63,1,0,0
17516,17517,52,49,1.73,0.26,46.14,0.69,1,0,0
14598,14599,39,28,1.57,1.66,27.65,1.68,1,0,0
29307,29309,19,20,0.68,2.73,41.67,5.65,1,0,0
16841,16842,50,3,2.37,0.15,14.81,0.79,1,0,1
15728,15729,53,55,2.1,0.87,27.01,5.94,1,0,0
23241,23242,16,31,6.12,2.63,45.33,5.37,1,0,0
16750,16752,49,53,7,0.32,37.35,6.37,1,0,0
710,711,52,13,9.27,3.64,26.34,4.93,1,0,0
34899,34900,13,35,10.07,1.28,7.46,1.36,1,0,1
4618,4619,46,36,3.41,1.54,0.11,0.84,1,0,1
26768,26769,43,43,6.63,1.6,16.83,2.68,1,0,0
8895,8896,40,2,5.37,1.75,34.55,7,1,0,0
13011,13012,58,9,8.46,2.94,35.99,4.96,1,0,0
2904,2905,37,20,11.39,2.69,46.94,1.22,1,0,0
7406,7407,42,24,6.19,2.55,32.43,1.08,1,0,0
27192,27193,35,10,0.93,1.66,7.84,9.57,1,0,0
2036,2037,53,13,11.79,2.59,13.68,8.78,1,0,0
29377,29379,50,33,10.99,0.27,15.22,0.35,1,0,0
295,296,29,65,2.04,0.09,59.79,3.25,1,0,0
10997,10998,18,6,8.88,3.1,20.97,3.91,1,0,0
30174,30176,51,35,1.31,0.3,55.56,0.56,1,0,0
3678,3679,26,4,2.22,0.81,76.29,5.66,1,0,0
14223,14224,20,81,10.46,1.6,12.03,1.65,1,0,1
34158,34159,35,38,1.09,0.17,23.65,7.84,1,0,0
4795,4796,41,41,3.99,0.9,12.2,3.24,1,0,1
15499,15500,39,22,3.25,0.81,4.96,0.95,1,0,1
34584,34585,24,8,8.32,0.68,13.96,2.82,1,0,1
19272,19273,37,40,2.24,0.06,74.15,8.35,1,0,0
12268,12269,59,2,5.11,3.68,10.44,4.67,1,0,1
26940,26941,42,51,6.21,0.21,18.09,5.51,1,0,0
7084,7085,47,47,0.6,2.06,14.49,2.22,1,0,1
19518,19519,35,45,0.38,2.89,62.34,5.04,1,0,0
30488,30489,53,91,7,2.64,42.87,0.67,1,0,0
23992,23993,51,1,3.78,1.96,33.17,4.63,1,0,0
11018,11019,17,38,4.68,4.12,9.67,0.03,1,0,1
34762,34763,9,20,7.21,0.48,44.67,7.71,1,0,0
33325,33326,43,16,6.5,4.09,41.93,7.45,1,0,0
34147,34148,22,37,6.88,3.58,20.3,7.08,1,0,0
3028,3029,53,38,0.93,0.37,1.47,2.99,1,0,1
28710,28711,52,23,0.7,4.15,15.94,1.22,1,0,0
12087,12088,52,11,3,0.01,8.32,1.62,1,0,1
27704,27705,44,23,2.55,1.51,29.74,9.41,1,0,0
31820,31821,54,69,5.32,0.38,6.36,8.56,1,0,0
6331,6332,48,2,9.78,0.23,24.34,0.53,1,0,0
7859,7860,30,44,7.49,0.14,56.53,1.93,1,0,0
24580,24581,35,4,1.6,0.85,1.73,1.07,1,0,1
25421,25422,40,9,0.4,1.52,22.94,3.67,1,0,0
29331,29332,9,73,6.28,2.45,62.82,3.15,1,0,0
9957,9958,41,64,12,3.59,4.79,2.27,1,0,1
32227,32228,11,29,5.84,3.18,64.43,0.13,1,0,0
21541,21543,25,3,8.76,1.9,10.99,1.61,1,0,1
11904,11905,59,33,11.18,3,26.25,6.65,1,0,0
13875,13876,57,6,11.35,1.36,24.24,0.37,1,0,0
4784,4785,6,2,3.9,2.28,32.89,3.97,1,0,0
5028,5029,14,20,2.71,1.95,35.22,0.44,1,0,0
3900,3902,44,14,0.55,0.88,15.62,2.61,1,0,0
21593,21594,54,30,9.26,0.06,16.78,2.08,1,0,0
22524,22525,47,25,0.98,0.8,50.32,1.61,1,0,0
28519,28520,50,6,2.9,2.15,56.5,1.25,1,0,0
1337,1338,52,21,3.43,4.65,56.21,6.03,1,0,0
33361,33362,34,61,10.16,2.66,35.62,2.5,1,0,0
4779,4780,11,36,5.27,1.23,6.71,0.52,1,0,1
22325,22326,55,60,1.9,4.55,6.21,1.62,1,0,1
9711,9712,7,58,1.69,1.46,81.37,1.32,1,0,0
31821,31822,32,74,1.35,2.6,0.87,0.28,1,0,1
29513,29514,32,39,2.43,0.89,12.56,1.35,1,0,1
11163,11164,41,42,4.49,1.09,74.38,0.39,1,0,0
25792,25793,43,9,3.89,0.71,52.21,5.08,1,0,0
33419,33420,6,19,0.76,1.21,66.19,6.55,1,0,0
20470,20472,56,19,2.65,1.25,42.2,8.51,1,0,0
1195,1196,6,18,4.35,2.55,33.82,3.56,1,0,0
13470,13471,32,80,0.9,2.3,72.5,2.41,1,0,0
12759,12760,57,8,1.94,2.02,41.05,2.01,1,0,0
13501,13502,30,64,2.67,1.99,3.51,6.69,1,0,0
15045,15046,13,47,8.63,0.28,9.1,8.36,1,0,0
29471,29472,30,26,7.24,0.11,1.38,3.59,1,0,1
15406,15407,18,88,5.14,0.7,24.95,6.64,1,0,0
31692,31693,13,81,8.54,3.4,69.15,3.43,1,0,0
28822,28823,47,56,2.95,0.52,17.84,1.18,1,0,0
3636,3637,46,66,4.17,2.19,54.55,1.94,1,0,0
13978,13979,41,73,8.76,1.86,33.65,5.04,1,0,0
30856,30857,51,16,3.25,2.2,37.84,2.57,1,0,0
13936,13937,34,13,1.33,3.65,38.74,1.54,1,0,0
13289,13290,48,69,6.21,3.56,25.79,6.57,1,0,0
33559,33560,57,63,5.63,1.03,61.02,0.85,1,0,0
15673,15675,45,74,5.49,1.97,5.42,1.56,1,0,1
34890,34891,55,41,8.38,3.5,19.7,2.03,1,0,0
18135,18136,53,83,4.15,1.65,52.26,5.88,1,0,0
11605,11606,5,23,10.34,2.37,79.84,3.75,1,1,0
11432,11433,29,4,5.96,0.84,74.64,5.02,1,0,0
13019,13020,42,17,0.24,0.59,4.16,4.57,1,0,1
4823,4824,26,30,4.31,0.04,30.26,4.07,1,0,0
31584,31585,34,1,1.27,0.47,50.17,6.61,1,0,0
29431,29432,26,30,1.07,1.97,33.39,7.36,1,0,0
25010,25011,21,61,0.74,1.57,0.39,3.74,1,0,1
30622,30623,40,73,5.39,1.34,64.87,3.8,1,0,0
16286,16287,49,27,4.27,1.96,29.87,1.01,1,0,0
14554,14556,59,5,5.26,0.43,11.7,1.5,1,0,1
31021,31022,36,18,6.31,3.2,31.56,4.04,1,0,0
9978,9979,33,74,11.12,0.05,39.44,3.13,1,0,0
5465,5466,45,61,1.39,0.72,22.5,0.17,1,0,0
20355,20356,54,36,1.21,1.32,64.53,0.64,1,0,0
10031,10032,18,15,4.73,0.16,2.36,6.97,1,0,0
12229,12230,7,6,3.45,2.01,49.56,0.02,1,0,0
14868,14870,40,25,0.3,0.97,30.4,6.96,1,0,0
31498,31499,34,69,4.74,1.9,28.26,7.04,1,0,0
24493,24494,31,6,7.08,0.22,20.05,8.36,1,0,0
9193,9194,54,26,7.67,1.35,29.06,7.02,1,0,0
16840,16841,42,24,7.22,3.8,69.02,4.7,1,0,0
32051,32052,48,6,4.54,3.78,36.92,2.07,1,0,0
28548,28549,28,23,2.68,0.58,59.78,2.4,1,0,0
19546,19547,51,34,0.37,4.14,65.15,1.87,1,0,0
18423,18424,5,12,1.09,1.02,10.84,2.38,1,1,1
20705,20706,57,55,0.84,0.88,31.27,0.62,1,0,0
33819,33820,47,57,1.89,1.06,24,2.14,1,0,0
9599,9600,30,88,3.01,0.04,50.88,0.03,1,0,0
14147,14148,58,10,6.85,2.54,36.85,0.66,1,0,0
5873,5874,36,28,2.03,3.42,79.99,0.72,1,0,0
22773,22774,47,21,8.69,1.16,30.53,1.5,1,0,0
9994,9995,47,0,8.48,0.41,6.02,0.81,1,0,1
17225,17226,27,0,4.06,1.1,38,2.47,1,0,0
20904,20905,38,50,4.09,2.75,69.42,3.8,1,0,0
14986,14987,57,46,7.33,0.25,63.62,4.5,1,0,0
24176,24177,21,37,2.01,1.01,25.53,4.05,1,0,0
717,718,23,28,0.55,1.24,78.68,7.91,1,0,0
34282,34283,49,58,7.65,0.38,65.59,1.05,1,0,0
14815,14816,57,11,3.77,1.22,97.05,7.48,1,0,0
31144,31145,59,27,2.3,0.16,62.18,5.12,1,0,0
32297,32298,6,55,11.66,1.7,11.9,3.65,1,0,1
30144,30145,25,10,7.65,1.92,30.87,1.91,1,0,0
8546,8547,50,18,5.6,0.33,11.92,2.78,1,0,1
18109,18110,55,0,4.83,2.08,45.47,1.88,1,0,0
12565,12566,6,36,5.82,0.39,59.52,2.59,1,0,0
25225,25226,49,77,5.77,1.8,46.12,4.56,1,0,0
5319,5320,32,63,4.7,2.65,77.35,5.19,1,0,0
2149,2150,30,36,2.16,1.62,20.82,3.75,1,0,0
28879,28880,22,10,2.61,3.69,26.3,1.76,1,0,0
22654,22655,24,30,11.55,2.06,4.5,8.09,1,0,0
7616,7617,57,20,3.97,0.05,43.01,5.1,1,0,0
24736,24737,14,27,3.88,1.86,47.02,8.28,1,0,0
9811,9812,20,25,3.27,0.75,55.86,3.96,1,0,0
32735,32736,55,4,11.72,0.47,43.34,0.71,1,0,0
5854,5855,49,29,2.01,2.43,18.27,4.71,1,0,0
30126,30127,34,1,0.66,2.04,19.87,4.42,1,0,0
11009,11012,47,85,7.69,3.32,62.25,4.5,1,0,0
25145,25146,9,78,12.38,0.49,52.06,1.21,1,0,0
7663,7664,27,21,1.58,0.29,12.89,1.46,1,0,1
18120,18121,42,46,11.6,0.86,23.01,6.78,1,0,0
6283,6284,34,9,9.15,3.34,34.55,3.77,1,0,0
1146,1147,36,83,6.29,1.38,10.29,2.56,1,0,1
9993,9994,31,41,1.25,3.26,20,4.93,1,0,0
25624,25625,43,19,3.48,3.68,23.83,0.01,1,0,0
5886,5887,37,16,0.83,1.15,66.56,5.81,1,0,0
11745,11746,32,46,2.73,0.44,17.19,0.38,1,0,0
9878,9879,54,52,11.17,0.3,18.47,3.01,1,0,0
15822,15823,57,70,13.2,2.9,84.71,0.15,1,0,0
32796,32797,16,66,0.76,0.48,24.97,0.95,1,0,0
7376,7377,11,8,2.5,0.18,18.32,7.43,1,0,0
6932,6933,11,78,5.48,2.5,26.64,2.21,1,0,0
3826,3827,52,3,2.97,0.9,17.79,4.21,1,0,0
29154,29155,44,9,9.34,3.4,54.78,5.38,1,0,0
12935,12936,47,29,5.71,2.46,24.35,2.6,1,0,0
1948,1949,43,33,12.88,1.5,34.58,2.97,1,0,0
1556,1557,39,45,3.25,2.6,34.94,3.34,1,0,0
21669,21670,48,73,4.4,1.24,45.79,1.87,1,0,0
16462,16463,16,22,2.72,1.93,55.18,6.05,1,0,0
12242,12243,41,12,3.28,2.13,76.94,7.34,1,0,0
24434,24435,10,15,8.04,1.53,11.29,2.52,1,0,1
9848,9849,7,4,6.78,1.14,52.67,0.47,1,0,0
28928,28929,15,48,2.45,0.81,84.2,0.35,1,0,0
2350,2351,8,42,12.49,1.01,57.8,6.68,1,0,0
8218,8219,19,33,7.97,0.45,75.18,3.5,1,0,0
14720,14721,25,12,1.73,0.17,49.26,4.34,1,0,0
16999,17000,26,8,1.5,2.71,12.54,0.36,1,0,1
1337,1339,58,25,4.09,2.21,1.05,2.76,1,0,1
227,230,58,49,2.1,0.32,4.82,4.89,1,0,1
4472,4473,35,12,9.14,1.07,39.35,3.29,1,0,0
23803,23804,53,21,4.25,0.05,22.9,7.21,1,0,0
6957,6958,57,0,8.2,1.46,0.51,0.38,1,0,1
24256,24257,59,8,9.35,1.79,17.36,2.07,1,0,0
31208,31209,42,14,6.67,1.97,54.44,8.54,1,0,0
14897,14898,42,67,8.43,1.22,62.97,0.05,1,0,0
25012,25013,45,36,5.7,2.37,43.13,4.91,1,0,0
11898,11899,25,23,3.79,2.31,64.71,7.65,1,0,0
24754,24755,16,39,6.11,1.06,35.92,0.11,1,0,0
1912,1913,7,21,1.77,2.61,73.36,2.87,1,0,0
31468,31469,20,79,4.51,2.51,3.94,0.44,1,0,1
12829,12830,10,39,11.89,1.22,33.67,1.09,1,0,0
29190,29192,59,69,5.47,1.39,1.74,1.06,1,0,1
28922,28923,49,5,10.89,1.45,10.89,8.75,1,0,0
10234,10235,44,5,3.87,0.25,25.31,1.5,1,0,0
19487,19488,35,55,1.68,1.92,12.89,3.33,1,0,1
29991,29992,27,17,4.91,0.78,48.69,4.66,1,0,0
24337,24338,46,28,1.56,2.54,6.83,1.39,1,0,1
18268,18269,50,59,5.67,1.16,43.3,2.76,1,0,0
20405,20406,58,58,5.19,3.71,41.08,2.29,1,0,0
13124,13126,54,8,1.03,3.63,26.81,6.77,1,0,0
25441,25443,49,5,0.92,0.86,19.88,0.25,1,0,0
11989,11991,48,48,2.67,1.82,5.06,8.51,1,0,0
29647,29648,12,6,0.59,1.74,28.65,6.07,1,0,0
17065,17066,28,12,0.77,1.1,80.9,3.3,1,0,0
25617,25618,31,7,2.67,2.06,16.09,6.02,1,0,0
33951,33952,57,15,4.26,3.71,20.25,3.66,1,0,0
34827,34828,48,14,4,0.33,32.91,0.02,1,0,0
34432,34434,45,37,1.3,4.52,35.79,3.83,1,0,0
14968,14969,12,11,2.2,0.58,63.37,4.08,1,0,0
21764,21765,48,54,2.25,3.33,52.87,2.49,1,0,0
20378,20379,19,25,2.57,1.34,74.54,0.3,1,0,0
552,553,42,67,4.47,2.67,5.52,5.84,1,0,0
1867,1868,5,12,6.14,2.59,20.18,4.57,1,1,0
21766,21767,45,24,5.27,0.86,60.22,0.02,1,0,0
23779,23780,39,90,3.77,2.8,13.76,0.32,1,0,1
30502,30503,58,67,4.9,1.97,50.01,6.96,1,0,0
